numero,dam_key,state_code,dam_name,dam_name_clean,state,municipality,latitude,longitude,altitude_m,basin_id,basin_name,hydro_region_id,hydro_region_name,namo_oficial_mm3,name_elev_msnm,name_oficial_mm3,namo_elev_msnm,altura_cortina_m,elev_corona_msnm,inicio_operacion,corriente,uso,tipo_vertedor,nombre_comun
164,ALMSI,SI,"Adolfo López Mateos, Sin.",Adolfo López Mateos,Sinaloa,Badiraguato,25.101389,-107.388333,111,122,Río Humaya,10,Sinaloa,3086.610107,183.4799957,4034.52002,176.0,105.5,186.5,1964,R. Humaya,AP/RI,Libre,"El Humaya o El Varejonal, Sin."
165,LDCSI,SI,"Luis Donaldo Colosio, Sin.",Luis Donaldo Colosio,Sinaloa,Choix,26.844722,-108.367778,168,125,Río Fuerte 1,10,Sinaloa,3202.16,290.0,4567.08,274.0,164.75,290.75,1995,R. Fuerte,GH,Contr,"Huites, Sin."
166,JLPSI,SI,"José López Portillo, Sin.",José López Portillo,Sinaloa,Cosalá,24.571667,-106.807222,1470,121,Río San Lorenzo 2,10,Sinaloa,2580.19,286.9500122,3966.169922,272.16,136.0,290.0,1981,R. San Lorenzo,AP/GH/RI,Contr,"Comedero, Sin."
167,JGRSI,SI,"Juan Guerrero Alcocer, Sin.",Juan Guerrero Alcocer,Sinaloa,Culiacán,24.753611,-107.059444,0,124,Río Culiacán,10,Sinaloa,54.684,176.2799988,102.0,168.5,50.0,178.3,1994,A. El Bledal,RI,Libre,"Vinoramas, Sin."
168,SNLSI,SI,"Sanalona, Sin.",Sanalona,Sinaloa,Culiacán,24.815,-107.151389,170,124,Río Culiacán,10,Sinaloa,687.988,162.17,987.522,156.2,81.0,165.0,1948,R. Tamazula,AP/GH/RI,Libre,"Sanalona, Sin."
169,JORSI,SI,"Josefa Ortiz de Domínguez, Sin.",Josefa Ortiz de Domínguez,Sinaloa,El Fuerte,26.426944,-108.7025,300,128,Río Fuerte 2,10,Sinaloa,519.28,112.6500015,685.11,109.5,44.0,113.5,1967,A. Alamos,AP/RI,Contr,"El Sabino, Sin."
170,PMHSI,SI,"Miguel Hidalgo, Sin.",Miguel Hidalgo,Sinaloa,El Fuerte,26.509722,-108.58,300,128,Río Fuerte 2,10,Sinaloa,3096.63,148.0,4171.273,140.83,81.0,151.4,1956,R. Fuerte,AP/GH/RI,Mixto,"El Mahoné, Sin."
171,SLTSI,SI,"Ing. Aurelio Benassini Vizcaíno, Sin.",Ing. Aurelio Benassini Vizcaíno,Sinaloa,Elota,24.121944,-106.695833,35,114,Río Habitas,10,Sinaloa,403.9,164.6399994,815.592,154.5,73.0,167.1,1988,R. Elota,RI,Libre,"El Salto o Elota, Sin."
172,EBLSI,SI,"Lic. Eustaquio Buelna, Sin.",Lic. Eustaquio Buelna,Sinaloa,Salvador Alvarado,25.484722,-108.065556,0,119,Río Mocorito 2,10,Sinaloa,80.08,68.84999847,264.9500122,63.54,41.0,71.2,1972,R. Mocorito,AP/RI,Contr,"Guamúchil, Sin."
173,GBESI,SI,"Ing. Guillermo Blake Águilar, Sin.",Ing. Guillermo Blake Águilar,Sinaloa,Sinaloa,26.103611,-108.3275,150,132,Arroyo Ocoroni,10,Sinaloa,294.578,196.6100006,469.2,188.4499969,81.2,201.2,1985,A. Ocoroni,AP/RI,Libre,"El Sabinal, Sin."
